,key,value,date
1,API,89,02/1/1
2,API,85,02/1/2
3,API,82,02/1/3
4,API,82,02/1/4
5,API,88,02/1/5
6,API,107,02/1/6
7,API,122,02/1/7
8,API,95,02/1/8
9,API,116,02/1/9
10,API,116,02/1/10
11,API,105,02/1/11
12,API,117,02/1/12
13,API,104,02/1/13
14,API,91,02/1/14
15,API,89,02/1/15
16,API,53,02/1/16
17,API,71,02/1/17
18,API,88,02/1/18
19,API,87,02/1/19
20,API,98,02/1/20
21,API,90,02/1/21
22,API,66,02/1/22
23,API,67,02/1/23
24,API,79,02/1/24
25,API,97,02/1/25
26,API,92,02/1/26
27,API,79,02/1/27
28,API,80,02/1/28
29,API,71,02/1/29
30,API,90,02/1/30
31,API,78,02/1/31
32,API,88,02/2/1
33,API,101,02/2/2
34,API,72,02/2/3
35,API,78,02/2/4
36,API,92,02/2/5
37,API,85,02/2/6
38,API,88,02/2/7
39,API,105,02/2/8
40,API,65,02/2/9
41,API,80,02/2/10
42,API,102,02/2/11
43,API,111,02/2/12
44,API,89,02/2/13
45,API,70,02/2/14
46,API,65,02/2/15
47,API,53,02/2/16
48,API,77,02/2/17
49,API,68,02/2/18
50,API,67,02/2/19
51,API,67,02/2/20
52,API,72,02/2/21
53,API,91,02/2/22
54,API,84,02/2/23
55,API,75,02/2/24
56,API,78,02/2/25
57,API,88,02/2/26
58,API,104,02/2/27
59,API,89,02/2/28
60,API,88,02/3/1
61,API,85,02/3/2
62,API,69,02/3/3
63,API,93,02/3/4
64,API,77,02/3/5
65,API,76,02/3/6
66,API,72,02/3/7
67,API,66,02/3/8
68,API,73,02/3/9
69,API,85,02/3/10
70,API,82,02/3/11
71,API,78,02/3/12
72,API,108,02/3/13
73,API,93,02/3/14
74,API,92,02/3/15
75,API,77,02/3/16
76,API,116,02/3/17
77,API,113,02/3/18
78,API,88,02/3/19
79,API,86,02/3/20
80,API,105,02/3/21
81,API,176,02/3/22
82,API,99,02/3/23
83,API,104,02/3/24
84,API,94,02/3/25
85,API,72,02/3/26
86,API,84,02/3/27
87,API,73,02/3/28
88,API,82,02/3/29
89,API,83,02/3/30
90,API,72,02/3/31
91,API,107,02/4/1
92,API,97,02/4/2
93,API,157,02/4/3
94,API,112,02/4/4
95,API,84,02/4/5
96,API,56,02/4/6
97,API,143,02/4/7
98,API,112,02/4/8
99,API,95,02/4/9
100,API,90,02/4/10
101,API,82,02/4/11
102,API,87,02/4/12
103,API,89,02/4/13
104,API,87,02/4/14
105,API,114,02/4/15
