key,value,date
NO2,25.63,02/1/1
NO2,31.25,02/1/2
NO2,24.38,02/1/3
NO2,33.13,02/1/4
NO2,36.88,02/1/5
NO2,36.25,02/1/6
NO2,18.13,02/1/7
NO2,25.63,02/1/8
NO2,29.38,02/1/9
NO2,28.13,02/1/10
NO2,35.63,02/1/11
NO2,44.38,02/1/12
NO2,28.13,02/1/13
NO2,22.50,02/1/14
NO2,15.00,02/1/15
NO2,11.25,02/1/16
NO2,20.63,02/1/17
NO2,25.63,02/1/18
NO2,23.75,02/1/19
NO2,28.13,02/1/20
NO2,27.19,02/1/21
NO2,26.69,02/1/22
NO2,25.94,02/1/23
NO2,25.75,02/1/24
NO2,25.50,02/1/25
NO2,25.44,02/1/26
NO2,25.25,02/1/27
NO2,25.53,02/1/28
NO2,25.44,02/1/29
NO2,25.28,02/1/30
NO2,25.34,02/1/31
NO2,24.94,02/2/1
NO2,24.19,02/2/2
NO2,24.66,02/2/3
NO2,24.84,02/2/4
NO2,25.25,02/2/5
NO2,26.19,02/2/6
NO2,26.22,02/2/7
NO2,26.63,02/2/8
NO2,26.22,02/2/9
NO2,25.63,02/2/10
NO2,25.78,02/2/11
NO2,25.94,02/2/12
NO2,25.84,02/2/13
NO2,25.28,02/2/14
NO2,24.47,02/2/15
NO2,23.88,02/2/16
NO2,23.19,02/2/17
NO2,22.97,02/2/18
NO2,22.44,02/2/19
NO2,21.91,02/2/20
NO2,21.22,02/2/21
NO2,20.50,02/2/22
NO2,19.84,02/2/23
NO2,19.69,02/2/24
NO2,19.78,02/2/25
NO2,19.53,02/2/26
NO2,20.03,02/2/27
NO2,19.97,02/2/28
NO2,20.53,02/3/1
NO2,20.91,02/3/2
NO2,20.91,02/3/3
NO2,20.59,02/3/4
NO2,21.03,02/3/5
NO2,21.41,02/3/6
NO2,21.94,02/3/7
NO2,22.34,02/3/8
NO2,23.19,02/3/9
NO2,22.97,02/3/10
NO2,23.19,02/3/11
NO2,23.78,02/3/12
NO2,24.56,02/3/13
NO2,26.38,02/3/14
NO2,26.81,02/3/15
NO2,27.19,02/3/16
NO2,27.06,02/3/17
NO2,27.44,02/3/18
NO2,27.16,02/3/19
NO2,26.38,02/3/20
NO2,26.25,02/3/21
NO2,26.41,02/3/22
NO2,26.38,02/3/23
NO2,26.69,02/3/24
NO2,26.25,02/3/25
NO2,25.72,02/3/26
NO2,24.75,02/3/27
NO2,24.22,02/3/28
NO2,23.69,02/3/29
NO2,24.13,02/3/30
NO2,23.94,02/3/31
NO2,23.19,02/4/1
NO2,22.28,02/4/2
NO2,21.16,02/4/3
NO2,20.66,02/4/4
NO2,20.38,02/4/5
NO2,20.22,02/4/6
NO2,19.13,02/4/7
NO2,18.47,02/4/8
NO2,18.25,02/4/9
NO2,17.97,02/4/10
NO2,17.69,02/4/11
NO2,17.97,02/4/12
NO2,17.69,02/4/13
NO2,17.41,02/4/14
NO2,17.13,02/4/15
NO2,17.59,02/4/16
NO2,17.41,02/4/17
NO2,17.22,02/4/18
NO2,16.91,02/4/19
NO2,16.66,02/4/20
NO2,16.50,02/4/21
NO2,16.50,02/4/22
NO2,15.88,02/4/23
NO2,15.19,02/4/24
NO2,14.47,02/4/25
NO2,14.53,02/4/26
NO2,14.88,02/4/27
NO2,15.50,02/4/28
NO2,15.75,02/4/29
NO2,15.63,02/4/30
NO2,15.50,02/5/1
NO2,15.59,02/5/2
NO2,16.03,02/5/3
NO2,16.97,02/5/4
NO2,18.44,02/5/5
NO2,18.84,02/5/6
NO2,19.09,02/5/7
NO2,19.19,02/5/8
NO2,19.38,02/5/9
NO2,20.16,02/5/10
NO2,20.63,02/5/11
NO2,20.81,02/5/12
NO2,20.63,02/5/13
NO2,21.59,02/5/14
NO2,22.47,02/5/15
NO2,22.00,02/5/16
NO2,21.56,02/5/17
NO2,20.75,02/5/18
NO2,21.00,02/5/19
NO2,21.66,02/5/20
NO2,22.09,02/5/21
NO2,22.44,02/5/22
NO2,22.97,02/5/23
NO2,23.03,02/5/24
NO2,22.59,02/5/25
NO2,22.28,02/5/26
NO2,22.81,02/5/27
NO2,23.44,02/5/28
NO2,23.97,02/5/29
NO2,23.25,02/5/30
NO2,23.00,02/5/31
NO2,23.47,02/6/1
NO2,24.00,02/6/2
NO2,24.22,02/6/3
NO2,24.00,02/6/4
NO2,24.38,02/6/5
NO2,25.09,02/6/6
NO2,25.72,02/6/7
NO2,25.78,02/6/8
NO2,25.59,02/6/9
NO2,25.53,02/6/10
NO2,24.56,02/6/11
NO2,23.88,02/6/12
NO2,23.38,02/6/13
NO2,22.72,02/6/14
NO2,22.56,02/6/15
NO2,22.16,02/6/16
NO2,21.88,02/6/17
NO2,21.16,02/6/18
NO2,21.31,02/6/19
NO2,21.28,02/6/20
NO2,20.94,02/6/21
NO2,20.81,02/6/22
NO2,19.91,02/6/23
NO2,19.53,02/6/24
NO2,19.09,02/6/25
NO2,18.88,02/6/26
NO2,19.16,02/6/27
NO2,18.91,02/6/28
NO2,18.75,02/6/29
NO2,18.16,02/6/30
NO2,17.97,02/7/1
NO2,17.69,02/7/2
NO2,17.22,02/7/3
NO2,17.25,02/7/4
NO2,17.47,02/7/5
NO2,17.06,02/7/6
NO2,16.56,02/7/7
NO2,16.47,02/7/8
NO2,16.59,02/7/9
NO2,16.84,02/7/10
NO2,16.91,02/7/11
NO2,16.38,02/7/12
NO2,16.13,02/7/13
NO2,15.75,02/7/14
NO2,16.06,02/7/15
NO2,16.06,02/7/16
NO2,15.84,02/7/17
NO2,15.94,02/7/18
NO2,15.34,02/7/19
NO2,15.03,02/7/20
NO2,15.00,02/7/21
NO2,14.78,02/7/22
NO2,14.69,02/7/23
NO2,14.44,02/7/24
NO2,13.97,02/7/25
NO2,14.25,02/7/26
NO2,14.25,02/7/27
NO2,13.94,02/7/28
NO2,13.41,02/7/29
NO2,12.88,02/7/30
NO2,12.94,02/7/31
NO2,13.16,02/8/1
NO2,13.38,02/8/2
NO2,13.69,02/8/3
NO2,13.56,02/8/4
NO2,13.34,02/8/5
NO2,12.84,02/8/6
NO2,12.59,02/8/7
NO2,12.69,02/8/8
NO2,12.94,02/8/9
NO2,13.16,02/8/10
NO2,13.53,02/8/11
NO2,13.91,02/8/12
NO2,14.44,02/8/13
NO2,15.00,02/8/14
NO2,14.84,02/8/15
NO2,15.41,02/8/16
NO2,16.31,02/8/17
NO2,17.22,02/8/18
NO2,18.06,02/8/19
NO2,17.75,02/8/20
NO2,17.81,02/8/21
NO2,18.44,02/8/22
NO2,18.63,02/8/23
NO2,19.28,02/8/24
NO2,19.63,02/8/25
NO2,20.44,02/8/26
NO2,20.63,02/8/27
NO2,20.94,02/8/28
NO2,21.69,02/8/29
NO2,21.91,02/8/30
NO2,22.13,02/8/31
NO2,22.44,02/9/1
NO2,22.59,02/9/2
NO2,22.09,02/9/3
NO2,21.88,02/9/4
NO2,21.34,02/9/5
NO2,20.50,02/9/6
NO2,20.19,02/9/7
NO2,19.84,02/9/8
NO2,20.72,02/9/9
NO2,21.63,02/9/10
NO2,21.75,02/9/11
NO2,22.19,02/9/12
NO2,21.28,02/9/13
NO2,21.03,02/9/14
NO2,20.41,02/9/15
NO2,20.59,02/9/16
NO2,20.81,02/9/17
NO2,21.03,02/9/18
NO2,21.84,02/9/19
NO2,22.41,02/9/20
NO2,21.88,02/9/21
NO2,21.25,02/9/22
NO2,21.47,02/9/23
NO2,22.09,02/9/24
NO2,22.88,02/9/25
NO2,23.16,02/9/26
NO2,23.50,02/9/27
NO2,23.53,02/9/28
NO2,22.94,02/9/29
NO2,22.41,02/9/30
NO2,22.38,02/10/1
NO2,21.94,02/10/2
NO2,22.50,02/10/3
NO2,22.50,02/10/4
NO2,23.19,02/10/5
