2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.041,0.080,0.078,0.019,0.027,0.038,0.019,0.033,0.055,0.016
0.050,0.055,0.074,0.019,0.030,0.036,0.025,0.037,0.053,0.020
0.039,0.039,0.083,0.021,0.041,0.043,0.028,0.050,0.056,0.023
0.053,0.033,0.110,0.022,0.042,0.040,0.044,0.050,0.049,0.025
0.059,0.038,0.127,0.026,0.018,0.055,0.031,0.046,0.036,0.028
0.058,0.040,0.133,0.024,0.025,0.030,0.042,0.043,0.066,0.018
0.029,0.043,0.111,0.029,0.029,0.031,0.051,0.046,0.086,0.020
0.041,0.055,0.045,0.026,0.029,0.029,0.054,0.056,0.092,0.022
0.047,0.048,0.057,0.027,0.028,0.033,0.056,0.033,0.061,0.019
0.045,0.078,0.073,0.027,0.059,0.036,0.034,0.028,0.054,0.018
0.057,0.076,0.051,0.032,0.048,0.033,0.036,0.026,0.052,0.022
0.071,0.038,0.049,0.031,0.046,0.033,0.034,0.028,0.059,0.021
0.045,0.039,0.061,0.038,0.032,0.042,0.027,0.036,0.054,0.021
0.036,0.033,0.060,0.046,0.038,0.036,0.029,0.034,0.047,0.029
0.024,0.029,0.076,0.035,0.048,0.039,0.038,0.029,0.052,0.018
0.018,0.027,0.042,0.035,0.046,0.045,0.036,0.042,0.095,0.019
0.033,0.048,0.045,0.027,0.038,0.048,0.037,0.054,0.055,0.027
0.041,0.050,0.050,0.030,0.019,0.049,0.040,0.052,0.057,0.027
0.038,0.066,0.061,0.029,0.022,0.041,0.043,0.033,0.069,0.035
0.045,0.078,0.069,0.031,0.029,0.041,0.035,0.029,0.059,0.037
0.025,0.061,0.025,0.032,0.034,0.044,0.028,0.036,0.042,0.029
0.026,0.078,0.045,0.029,0.038,0.039,0.032,0.025,0.072,0.035
0.033,0.047,0.037,0.029,0.043,0.037,0.033,0.014,0.068,0.029
0.045,0.058,0.029,0.029,0.025,0.046,0.031,0.020,0.050,0.021
0.057,0.077,0.050,0.025,0.030,0.050,0.034,0.021,0.060,0.027
0.052,0.053,0.057,0.023,0.034,0.034,0.033,0.024,0.069,0.024
0.038,0.033,0.054,0.039,0.036,0.029,0.038,0.022,0.065,0.033
0.038,0.027,0.053,0.029,0.044,0.027,0.034,0.016,0.062,0.024
0.042,0.037,0.067,0.018,0.031,0.021,0.034,0.033,0.050,0.021
0.047,0.050,0.075,0.018,0.018,0.025,0.032,0.032,0.068,0.019
0.044,0.055,0.091,0.024,0.020,0.030,0.034,0.042,0.077,0.023
0.047,0.045,0.093,0.014,0.030,0.024,0.036,0.047,0.057,0.020
0.060,0.058,0.046,0.021,0.024,0.033,0.040,0.131,0.061,0.021
0.042,0.049,0.059,0.025,0.013,0.021,0.040,0.036,0.066,0.026
0.037,0.072,0.053,0.025,0.017,0.035,0.035,0.042,0.063,0.023
0.048,0.034,0.043,0.019,0.023,0.036,0.037,0.032,0.059,0.024
0.034,0.034,0.046,0.016,0.019,0.046,0.032,0.044,0.058,0.020
0.054,0.026,0.054,0.018,0.019,0.044,0.034,0.043,0.061,0.026
0.025,0.037,0.059,0.019,0.018,0.041,0.033,0.049,0.056,0.029
0.026,0.049,0.060,0.024,0.017,0.030,0.029,0.033,0.064,0.017
0.030,0.018,0.049,0.015,0.017,0.028,0.032,0.032,0.058,0.021
0.031,0.022,0.095,0.017,0.029,0.028,0.032,0.044,0.038,0.019
0.030,0.030,0.088,0.022,0.031,0.027,0.027,0.043,0.052,0.014
0.027,0.040,0.062,0.018,0.013,0.042,0.029,0.036,0.069,0.024
0.031,0.066,0.044,0.018,0.022,0.020,0.033,0.029,0.036,0.019
0.033,0.070,0.056,0.017,0.034,0.024,0.035,0.023,0.042,0.020
0.016,0.060,0.061,0.011,0.025,0.026,0.037,0.027,0.030,0.018
0.031,0.056,0.098,0.014,0.017,0.031,0.036,0.034,0.033,0.022
0.025,0.065,0.055,0.011,0.016,0.026,0.035,0.032,0.032,0.027
0.030,0.066,0.091,0.010,0.014,0.030,0.031,0.030,0.029,0.027
0.022,0.047,0.094,0.013,0.013,0.015,0.037,0.024,0.028,0.030
0.024,0.036,0.060,0.016,0.013,0.016,0.035,0.021,0.032,0.040
0.039,0.025,0.035,0.012,0.015,0.019,0.029,0.035,0.036,0.036
0.037,0.036,0.053,0.019,0.019,0.057,0.032,0.037,0.070,0.023
0.040,0.050,0.041,0.018,0.020,0.016,0.031,0.041,0.038,0.026
0.040,0.060,0.049,0.011,0.027,0.020,0.033,0.032,0.036,0.028
0.050,0.049,0.057,0.013,0.025,0.017,0.034,0.031,0.038,0.030
0.052,0.043,0.052,0.015,0.031,0.025,0.031,0.036,0.037,0.019
0.043,0.052,0.041,0.021,0.029,0.035,0.032,0.035,0.041,0.015
0.038,0.052,0.050,0.021,0.027,0.032,0.029,0.042,0.036,0.021
0.030,0.063,0.050,0.015,0.028,0.021,0.031,0.035,0.030,0.023
0.021,0.030,0.058,0.014,0.021,0.026,0.030,0.030,0.031,0.022
0.044,0.038,0.045,0.011,0.013,0.018,0.032,0.023,0.059,0.017
0.039,0.045,0.052,0.014,0.020,0.012,0.033,0.029,0.033,0.019
0.048,0.034,0.044,0.011,0.024,0.014,0.032,0.026,0.054,0.027
0.046,0.042,0.055,0.014,0.027,0.015,0.031,0.023,0.040,0.023
0.043,0.061,0.045,0.020,0.041,0.020,0.032,0.022,0.037,0.025
0.024,0.060,0.049,0.021,0.024,0.013,0.034,0.041,0.028,0.019
0.032,0.038,0.036,0.027,0.016,0.016,0.037,0.041,0.027,0.013
0.049,0.025,0.053,0.010,0.023,0.019,0.030,0.039,0.041,0.019
