2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.128,0.328,0.218,0.059,0.126,0.193,0.066,0.108,0.139,0.054
0.107,0.211,0.245,0.066,0.151,0.171,0.084,0.125,0.23,0.077
0.113,0.202,0.206,0.075,0.288,0.224,0.114,0.209,0.137,0.096
0.102,0.115,0.295,0.058,0.225,0.19,0.265,0.229,0.127,0.106
0.121,0.136,0.321,0.078,0.057,0.359,0.138,0.218,0.082,0.162
0.163,0.154,0.372,0.069,0.085,0.131,0.134,0.14,0.143,0.067
0.194,0.21,0.47,0.092,0.091,0.094,0.381,0.185,0.167,0.069
0.133,0.159,0.135,0.082,0.088,0.09,0.455,0.204,0.198,0.071
0.181,0.163,0.129,0.069,0.099,0.09,0.522,0.125,0.221,0.081
0.182,0.31,0.207,0.08,0.194,0.147,0.13,0.078,0.195,0.089
0.159,0.266,0.131,0.155,0.253,0.11,0.102,0.105,0.142,0.129
0.184,0.133,0.142,0.124,0.244,0.131,0.099,0.098,0.141,0.11
0.158,0.134,0.158,0.138,0.197,0.131,0.048,0.086,0.128,0.132
0.131,0.139,0.126,0.168,0.157,0.115,0.089,0.111,0.108,0.215
0.128,0.123,0.167,0.116,0.132,0.15,0.142,0.08,0.135,0.091
0.055,0.114,0.128,0.13,0.189,0.202,0.14,0.162,0.189,0.064
0.092,0.192,0.108,0.094,0.177,0.195,0.129,0.235,0.135,0.104
0.126,0.214,0.118,0.111,0.065,0.222,0.143,0.234,0.146,0.106
0.123,0.271,0.149,0.101,0.058,0.142,0.377,0.145,0.275,0.225
0.145,0.203,0.159,0.108,0.057,0.139,0.13,0.108,0.267,0.188
0.129,0.122,0.098,0.102,0.075,0.253,0.063,0.119,0.077,0.179
0.079,0.148,0.123,0.09,0.088,0.133,0.068,0.118,0.103,0.373
0.078,0.1,0.107,0.098,0.133,0.204,0.126,0.147,0.135,0.184
0.107,0.119,0.079,0.112,0.089,0.149,0.092,0.081,0.124,0.073
0.144,0.176,0.096,0.097,0.065,0.279,0.102,0.075,0.14,0.104
0.134,0.186,0.112,0.073,0.091,0.143,0.115,0.197,0.122,0.106
0.108,0.123,0.125,0.138,0.102,0.111,0.149,0.086,0.126,0.175
0.109,0.051,0.109,0.102,0.16,0.073,0.134,0.11,0.191,0.101
0.084,0.068,0.139,0.095,0.16,0.103,0.146,0.113,0.133,0.122
0.13,0.096,0.235,0.052,0.098,0.108,0.091,0.163,0.205,0.08
0.098,0.117,0.364,0.068,0.043,0.118,0.103,0.224,0.284,0.079
0.125,0.138,0.334,0.062,0.088,0.079,0.129,0.311,0.174,0.087
0.144,0.131,0.123,0.094,0.069,0.103,0.149,0.377,0.179,0.103
0.092,0.129,0.139,0.086,0.063,0.119,0.23,0.171,0.185,0.245
0.105,0.223,0.173,0.088,0.035,0.126,0.126,0.173,0.219,0.121
0.134,0.059,0.139,0.075,0.064,0.124,0.145,0.17,0.262,0.135
0.12,0.065,0.133,0.051,0.047,0.351,0.106,0.425,0.141,0.177
0.125,0.076,0.197,0.045,0.062,0.292,0.14,0.234,0.195,0.133
0.159,0.073,0.156,0.063,0.029,0.197,0.145,0.296,0.203,0.21
0.08,0.121,0.178,0.136,0.03,0.124,0.078,0.19,0.217,0.105
0.11,0.088,0.161,0.058,0.052,0.096,0.085,0.146,0.107,0.084
0.153,0.049,0.32,0.05,0.077,0.106,0.112,0.146,0.076,0.107
0.171,0.054,0.291,0.077,0.115,0.083,0.093,0.179,0.086,0.091
0.127,0.096,0.27,0.077,0.077,0.173,0.069,0.145,0.132,0.116
0.086,0.154,0.342,0.092,0.096,0.11,0.107,0.107,0.187,0.094
0.08,0.16,0.179,0.081,0.133,0.048,0.105,0.091,0.125,0.099
0.056,0.147,0.236,0.036,0.108,0.111,0.139,0.106,0.101,0.112
0.103,0.153,0.338,0.052,0.058,0.119,0.139,0.124,0.119,0.139
0.086,0.247,0.261,0.032,0.061,0.149,0.12,0.124,0.099,0.18
0.083,0.298,0.227,0.038,0.061,0.143,0.095,0.138,0.107,0.109
0.083,0.201,0.252,0.041,0.05,0.106,0.149,0.14,0.12,0.149
0.093,0.128,0.226,0.052,0.055,0.109,0.148,0.124,0.103,0.205
0.131,0.086,0.079,0.059,0.075,0.115,0.246,0.133,0.189,0.177
0.118,0.146,0.139,0.114,0.078,0.135,0.136,0.143,0.259,0.162
0.1,0.21,0.147,0.092,0.094,0.074,0.102,0.178,0.126,0.193
0.106,0.311,0.189,0.046,0.085,0.064,0.11,0.115,0.145,0.178
0.126,0.238,0.179,0.055,0.066,0.071,0.141,0.103,0.128,0.145
0.157,0.179,0.169,0.061,0.064,0.083,0.097,0.13,0.145,0.082
0.127,0.146,0.187,0.107,0.075,0.208,0.102,0.174,0.146,0.088
0.125,0.159,0.174,0.121,0.095,0.132,0.063,0.247,0.081,0.094
0.119,0.221,0.143,0.075,0.076,0.131,0.096,0.128,0.146,0.108
0.088,0.141,0.193,0.052,0.064,0.11,0.391,0.086,0.146,0.103
0.131,0.122,0.214,0.071,0.076,0.062,0.116,0.074,0.225,0.038
0.104,0.141,0.145,0.074,0.086,0.034,0.104,0.091,0.113,0.07
0.101,0.103,0.169,0.067,0.118,0.034,0.123,0.082,0.098,0.137
0.093,0.14,0.113,0.104,0.126,0.057,0.143,0.055,0.107,0.067
0.082,0.216,0.127,0.227,0.2,0.098,0.124,0.088,0.107,0.075
0.095,0.213,0.173,0.161,0.15,0.077,0.093,0.147,0.075,0.072
0.12,0.118,0.192,0.293,0.137,0.083,0.121,0.176,0.074,0.056
0.113,0.092,0.3,0.135,0.42,0.05,0.148,0.18,0.12,0.072
0.106,0.108,0.295,0.102,0.095,0.071,0.143,0.146,0.143,0.086
0.166,0.152,0.206,0.089,0.064,0.099,0.261,0.107,0.196,0.103
0.135,0.212,0.158,0.107,0.078,0.2,0.22,0.102,0.137,0.2
0.133,0.201,0.246,0.143,0.082,0.218,0.128,0.101,0.125,0.064
0.104,0.166,0.196,0.203,0.115,0.188,0.155,0.234,0.096,0.097
0.182,0.153,0.194,0.199,0.097,0.123,0.14,0.163,0.143,0.101
0.175,0.253,0.246,0.141,0.183,0.117,0.104,0.118,0.091,0.102
0.126,0.233,0.101,0.097,0.133,0.125,0.131,0.141,0.137,0.189
0.121,0.136,0.133,0.144,0.136,0.205,0.191,0.144,0.509,0.12
