2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.101,0.385,0.125,0.063,0.058,0.137,0.069,0.120,0.097,0.030
0.119,0.267,0.129,0.082,0.060,0.137,0.107,0.191,0.122,0.037
0.087,0.174,0.136,0.088,0.114,0.188,0.111,0.304,0.118,0.049
0.113,0.188,0.201,0.094,0.128,0.201,0.222,0.360,0.098,0.067
0.125,0.245,0.201,0.147,0.040,0.230,0.091,0.299,0.060,0.065
0.147,0.221,0.208,0.094,0.058,0.111,0.133,0.193,0.217,0.024
0.067,0.205,0.135,0.116,0.056,0.092,0.279,0.113,0.241,0.033
0.140,0.228,0.084,0.143,0.068,0.105,0.226,0.110,0.140,0.039
0.102,0.174,0.077,0.141,0.067,0.105,0.248,0.092,0.253,0.032
0.086,0.343,0.119,0.146,0.162,0.127,0.134,0.088,0.146,0.030
0.122,0.326,0.101,0.194,0.157,0.118,0.108,0.074,0.112,0.048
0.128,0.169,0.065,0.178,0.095,0.118,0.098,0.096,0.133,0.034
0.056,0.162,0.097,0.141,0.067,0.155,0.095,0.108,0.113,0.040
0.076,0.160,0.062,0.156,0.089,0.131,0.140,0.130,0.074,0.071
0.047,0.174,0.099,0.094,0.096,0.148,0.149,0.092,0.098,0.028
0.031,0.110,0.077,0.114,0.128,0.184,0.128,0.156,0.130,0.033
0.085,0.146,0.104,0.079,0.089,0.185,0.142,0.215,0.116,0.054
0.124,0.205,0.092,0.070,0.044,0.200,0.137,0.160,0.123,0.054
0.123,0.260,0.111,0.088,0.060,0.133,0.258,0.113,0.293,0.105
0.124,0.278,0.129,0.094,0.064,0.132,0.114,0.079,0.139,0.122
0.072,0.164,0.048,0.091,0.115,0.173,0.078,0.078,0.090,0.070
0.082,0.115,0.107,0.074,0.104,0.137,0.107,0.057,0.058,0.087
0.084,0.094,0.059,0.082,0.116,0.157,0.113,0.037,0.110,0.053
0.106,0.151,0.048,0.069,0.102,0.135,0.097,0.065,0.090,0.032
0.144,0.217,0.087,0.054,0.060,0.209,0.121,0.088,0.112,0.053
0.125,0.131,0.108,0.065,0.088,0.107,0.097,0.173,0.149,0.054
0.081,0.079,0.088,0.142,0.074,0.096,0.143,0.093,0.100,0.084
0.092,0.066,0.093,0.088,0.119,0.082,0.127,0.048,0.126,0.047
0.091,0.107,0.089,0.034,0.086,0.076,0.107,0.108,0.108,0.035
0.122,0.129,0.128,0.042,0.050,0.087,0.088,0.136,0.139,0.037
0.105,0.123,0.185,0.071,0.059,0.101,0.112,0.247,0.195,0.055
0.108,0.136,0.157,0.038,0.101,0.061,0.134,0.264,0.106,0.046
0.155,0.167,0.072,0.095,0.084,0.110,0.140,0.344,0.119,0.055
0.093,0.116,0.100,0.097,0.041,0.071,0.159,0.180,0.118,0.088
0.071,0.220,0.092,0.071,0.039,0.106,0.119,0.205,0.113,0.069
0.088,0.095,0.070,0.056,0.073,0.100,0.142,0.089,0.113,0.079
