key,value,date
NO2,25.63,02/1/1
NO2,31.25,02/1/2
NO2,24.38,02/1/3
NO2,33.13,02/1/4
NO2,36.88,02/1/5
NO2,36.25,02/1/6
NO2,18.13,02/1/7
NO2,25.63,02/1/8
NO2,29.38,02/1/9
NO2,28.13,02/1/10
NO2,35.63,02/1/11
NO2,44.38,02/1/12
NO2,28.13,02/1/13
NO2,22.5,02/1/14
NO2,15,02/1/15
NO2,11.25,02/1/16
NO2,20.63,02/1/17
NO2,25.63,02/1/18
NO2,23.75,02/1/19
NO2,28.13,02/1/20
NO2,15.63,02/1/21
NO2,16.25,02/1/22
NO2,20.63,02/1/23
NO2,28.13,02/1/24
NO2,35.63,02/1/25
NO2,32.5,02/1/26
NO2,23.75,02/1/27
NO2,23.75,02/1/28
NO2,26.25,02/1/29
NO2,29.38,02/1/30
NO2,27.5,02/1/31
NO2,29.38,02/2/1
NO2,37.5,02/2/2
NO2,26.25,02/2/3
NO2,23.13,02/2/4
NO2,30,02/2/5
NO2,21.25,02/2/6
NO2,33.75,02/2/7
NO2,15.63,02/2/8
NO2,16.25,02/2/9
NO2,26.41,02/2/10
NO2,26.23,02/2/11
NO2,25.94,02/2/12
NO2,25.8,02/2/13
NO2,25.39,02/2/14
NO2,24.95,02/2/15
NO2,24.56,02/2/16
NO2,24.36,02/2/17
NO2,24.2,02/2/18
NO2,23.86,02/2/19
NO2,23.63,02/2/20
NO2,23.08,02/2/21
NO2,22.34,02/2/22
NO2,22.25,02/2/23
NO2,22.27,02/2/24
NO2,22.52,02/2/25
NO2,22.86,02/2/26
NO2,23.13,02/2/27
NO2,23.3,02/2/28
NO2,23.38,02/3/1
NO2,23.27,02/3/2
NO2,23.34,02/3/3
NO2,23.27,02/3/4
NO2,23.44,02/3/5
NO2,23.34,02/3/6
NO2,23.2,02/3/7
NO2,23.11,02/3/8
NO2,23.19,02/3/9
NO2,22.97,02/3/10
NO2,22.81,02/3/11
NO2,22.84,02/3/12
NO2,22.89,02/3/13
NO2,23.44,02/3/14
NO2,23.33,02/3/15
NO2,23.44,02/3/16
NO2,23.42,02/3/17
NO2,23.48,02/3/18
NO2,23.59,02/3/19
NO2,23.17,02/3/20
NO2,23.39,02/3/21
NO2,23.66,02/3/22
NO2,23.64,02/3/23
NO2,23.64,02/3/24
NO2,23.64,02/3/25
NO2,23.56,02/3/26
NO2,23.34,02/3/27
NO2,23.28,02/3/28
NO2,23.44,02/3/29
NO2,23.55,02/3/30
NO2,23.56,02/3/31
NO2,23.48,02/4/1
NO2,23.42,02/4/2
NO2,23.77,02/4/3
NO2,23.73,02/4/4
NO2,23.78,02/4/5
NO2,23.64,02/4/6
NO2,23.28,02/4/7
NO2,22.81,02/4/8
NO2,22.31,02/4/9
NO2,22.11,02/4/10
NO2,22.05,02/4/11
NO2,22.17,02/4/12
NO2,22.19,02/4/13
NO2,21.83,02/4/14
NO2,21.42,02/4/15
NO2,21.17,02/4/16
NO2,20.81,02/4/17
NO2,20.45,02/4/18
NO2,20.52,02/4/19
NO2,20.3,02/4/20
NO2,19.84,02/4/21
NO2,19.39,02/4/22
NO2,18.52,02/4/23
NO2,17.92,02/4/24
NO2,17.42,02/4/25
NO2,17.38,02/4/26
NO2,17,02/4/27
NO2,16.98,02/4/28
NO2,17,02/4/29
NO2,16.8,02/4/30
NO2,16.59,02/5/1
NO2,16.78,02/5/2
NO2,16.86,02/5/3
NO2,17.19,02/5/4
NO2,17.78,02/5/5
NO2,18.22,02/5/6
NO2,18.25,02/5/7
NO2,18.2,02/5/8
NO2,18.14,02/5/9
NO2,18.41,02/5/10
NO2,18.56,02/5/11
NO2,18.66,02/5/12
NO2,18.25,02/5/13
NO2,18.39,02/5/14
NO2,18.47,02/5/15
NO2,18.27,02/5/16
NO2,18.22,02/5/17
NO2,18.13,02/5/18
NO2,18.38,02/5/19
NO2,18.64,02/5/20
NO2,18.8,02/5/21
NO2,19.02,02/5/22
NO2,19.5,02/5/23
NO2,20,02/5/24
NO2,20.52,02/5/25
NO2,20.56,02/5/26
NO2,20.95,02/5/27
NO2,21.31,02/5/28
NO2,21.67,02/5/29
NO2,21.7,02/5/30
NO2,21.81,02/5/31
NO2,22.14,02/6/1
NO2,22.31,02/6/2
NO2,22.91,02/6/3
NO2,23.23,02/6/4
NO2,23.19,02/6/5
NO2,23.33,02/6/6
NO2,23.23,02/6/7
NO2,23.39,02/6/8
NO2,23.63,02/6/9
NO2,23.81,02/6/10
NO2,23.5,02/6/11
NO2,23.42,02/6/12
NO2,23.2,02/6/13
NO2,22.66,02/6/14
NO2,22.42,02/6/15
NO2,22.48,02/6/16
NO2,22.66,02/6/17
NO2,22.56,02/6/18
NO2,22.28,02/6/19
NO2,22.14,02/6/20
NO2,22.2,02/6/21
NO2,22.41,02/6/22
NO2,22.06,02/6/23
NO2,21.77,02/6/24
NO2,21.73,02/6/25
NO2,21.98,02/6/26
NO2,22.44,02/6/27
NO2,22.34,02/6/28
NO2,22.17,02/6/29
NO2,21.84,02/6/30
NO2,21.27,02/7/1
NO2,20.78,02/7/2
NO2,20.3,02/7/3
NO2,19.98,02/7/4
NO2,20.02,02/7/5
NO2,19.61,02/7/6
NO2,19.22,02/7/7
NO2,18.81,02/7/8
NO2,18.95,02/7/9
NO2,19.06,02/7/10
NO2,18.92,02/7/11
NO2,18.59,02/7/12
NO2,18.02,02/7/13
NO2,17.64,02/7/14
NO2,17.58,02/7/15
NO2,17.47,02/7/16
NO2,17.5,02/7/17
NO2,17.42,02/7/18
NO2,17.05,02/7/19
NO2,16.59,02/7/20
NO2,16.48,02/7/21
NO2,16.23,02/7/22
NO2,15.95,02/7/23
NO2,15.84,02/7/24
NO2,15.72,02/7/25
NO2,15.66,02/7/26
NO2,15.41,02/7/27
NO2,15.2,02/7/28
NO2,15,02/7/29
NO2,14.86,02/7/30
NO2,14.92,02/7/31
NO2,14.77,02/8/1
NO2,14.75,02/8/2
NO2,14.72,02/8/3
NO2,14.81,02/8/4
NO2,14.7,02/8/5
NO2,14.34,02/8/6
NO2,14.27,02/8/7
NO2,14.02,02/8/8
NO2,13.98,02/8/9
NO2,14.08,02/8/10
NO2,14.16,02/8/11
NO2,14.3,02/8/12
NO2,14.44,02/8/13
NO2,14.48,02/8/14
NO2,14.55,02/8/15
NO2,14.83,02/8/16
NO2,15.13,02/8/17
NO2,15.31,02/8/18
NO2,15.47,02/8/19
NO2,15.34,02/8/20
NO2,15.48,02/8/21
NO2,15.91,02/8/22
NO2,16.16,02/8/23
NO2,16.42,02/8/24
NO2,16.48,02/8/25
NO2,16.64,02/8/26
NO2,16.61,02/8/27
NO2,16.81,02/8/28
NO2,17.31,02/8/29
NO2,17.53,02/8/30
NO2,17.83,02/8/31
NO2,18.17,02/9/1
NO2,18.52,02/9/2
NO2,18.55,02/9/3
NO2,18.36,02/9/4
NO2,18.38,02/9/5
NO2,18.41,02/9/6
NO2,18.7,02/9/7
NO2,18.95,02/9/8
NO2,19.23,02/9/9
NO2,19.72,02/9/10
NO2,20.09,02/9/11
NO2,20.41,02/9/12
NO2,20.28,02/9/13
NO2,20.33,02/9/14
NO2,20.42,02/9/15
NO2,20.61,02/9/16
NO2,20.88,02/9/17
NO2,21.36,02/9/18
NO2,21.88,02/9/19
NO2,22.27,02/9/20
NO2,22.16,02/9/21
NO2,21.92,02/9/22
NO2,21.78,02/9/23
NO2,21.98,02/9/24
NO2,22.11,02/9/25
NO2,21.83,02/9/26
NO2,21.84,02/9/27
NO2,21.69,02/9/28
NO2,21.83,02/9/29
NO2,22.02,02/9/30
NO2,22.06,02/10/1
NO2,22.06,02/10/2
NO2,21.89,02/10/3
NO2,21.77,02/10/4
NO2,21.8,02/10/5
NO2,22.16,02/10/6
