key,value,date
NO2,0.041,02/1/1
NO2,0.05,02/1/2
NO2,0.039,02/1/3
NO2,0.053,02/1/4
NO2,0.0484,02/1/5
NO2,0.0518,02/1/6
NO2,0.0476,02/1/7
NO2,0.048,02/1/8
NO2,0.0468,02/1/9
NO2,0.044,02/1/10
NO2,0.0438,02/1/11
NO2,0.0522,02/1/12
NO2,0.053,02/1/13
NO2,0.0508,02/1/14
NO2,0.0466,02/1/15
NO2,0.0388,02/1/16
NO2,0.0312,02/1/17
NO2,0.0304,02/1/18
NO2,0.0308,02/1/19
NO2,0.035,02/1/20
NO2,0.0364,02/1/21
NO2,0.035,02/1/22
NO2,0.0334,02/1/23
NO2,0.0348,02/1/24
NO2,0.0372,02/1/25
NO2,0.0426,02/1/26
NO2,0.045,02/1/27
NO2,0.046,02/1/28
NO2,0.0454,02/1/29
NO2,0.0434,02/1/30
NO2,0.0418,02/1/31
NO2,0.0436,02/2/1
NO2,0.048,02/2/2
NO2,0.048,02/2/3
NO2,0.046,02/2/4
NO2,0.0468,02/2/5
NO2,0.0442,02/2/6
NO2,0.043,02/2/7
NO2,0.0396,02/2/8
NO2,0.0374,02/2/9
NO2,0.0338,02/2/10
NO2,0.0332,02/2/11
NO2,0.0284,02/2/12
NO2,0.0288,02/2/13
NO2,0.0298,02/2/14
NO2,0.0304,02/2/15
NO2,0.0274,02/2/16
NO2,0.0276,02/2/17
NO2,0.0272,02/2/18
NO2,0.027,02/2/19
NO2,0.0248,02/2/20
NO2,0.0264,02/2/21
NO2,0.028,02/2/22
NO2,0.0304,02/2/23
NO2,0.0324,02/2/24
NO2,0.036,02/2/25
NO2,0.0412,02/2/26
NO2,0.0438,02/2/27
NO2,0.045,02/2/28
NO2,0.0446,02/3/1
NO2,0.0426,02/3/2
NO2,0.0368,02/3/3
NO2,0.0352,02/3/4
NO2,0.0344,02/3/5
NO2,0.0364,02/3/6
NO2,0.0396,02/3/7
NO2,0.044,02/3/8
NO2,0.04,02/3/9
NO2,0.0386,02/3/10
NO2,0.0388,02/3/11
NO2,0.039,02/3/12
NO2,0.0466,02/3/13
NO2,0.0524,02/3/14
NO2,0.0558,02/3/15
NO2,0.0532,02/3/16
NO2,0.0542,02/3/17
NO2,0.0462,02/3/18
NO2,0.041,02/3/19
NO2,0.039,02/3/20
NO2,0.0404,02/3/21
NO2,0.0358,02/3/22
NO2,0.0338,02/3/23
NO2,0.0344,02/3/24
NO2,0.031,02/3/25
NO2,0.0258,02/3/26
NO2,0.0258,02/3/27
NO2,0.0248,02/3/28
NO2,0.0264,02/3/29
NO2,0.0272,02/3/30
NO2,0.0288,02/3/31
NO2,0.0266,02/4/1
NO2,0.0306,02/4/2
NO2,0.0304,02/4/3
NO2,0.0332,02/4/4
NO2,0.0344,02/4/5
NO2,0.0342,02/4/6
NO2,0.029,02/4/7
NO2,0.0256,02/4/8
NO2,0.0236,02/4/9
NO2,0.0242,02/4/10
NO2,0.0284,02/4/11
NO2,0.0288,02/4/12
NO2,0.029,02/4/13
NO2,0.0256,02/4/14
NO2,0.0252,02/4/15
NO2,0.0222,02/4/16
NO2,0.0218,02/4/17
NO2,0.0232,02/4/18
NO2,0.0242,02/4/19
NO2,0.0218,02/4/20
NO2,0.0208,02/4/21
NO2,0.022,02/4/22
NO2,0.0194,02/4/23
NO2,0.0192,02/4/24
NO2,0.0218,02/4/25
NO2,0.0238,02/4/26
NO2,0.0266,02/4/27
NO2,0.0292,02/4/28
NO2,0.031,02/4/29
NO2,0.0304,02/4/30
NO2,0.033,02/5/1
NO2,0.0322,02/5/2
NO2,0.0368,02/5/3
NO2,0.0436,02/5/4
NO2,0.0466,02/5/5
NO2,0.0446,02/5/6
NO2,0.042,02/5/7
NO2,0.0386,02/5/8
NO2,0.0352,02/5/9
NO2,0.0332,02/5/10
NO2,0.0318,02/5/11
NO2,0.0312,02/5/12
NO2,0.0336,02/5/13
NO2,0.034,02/5/14
NO2,0.0306,02/5/15
NO2,0.0286,02/5/16
NO2,0.0274,02/5/17
NO2,0.0254,02/5/18
NO2,0.0258,02/5/19
NO2,0.031,02/5/20
NO2,0.0386,02/5/21
NO2,0.0464,02/5/22
NO2,0.0498,02/5/23
NO2,0.0496,02/5/24
NO2,0.0478,02/5/25
NO2,0.047,02/5/26
NO2,0.045,02/5/27
NO2,0.0446,02/5/28
NO2,0.0394,02/5/29
NO2,0.0378,02/5/30
NO2,0.036,02/5/31
NO2,0.0348,02/6/1
NO2,0.0352,02/6/2
NO2,0.0388,02/6/3
NO2,0.0394,02/6/4
NO2,0.039,02/6/5
NO2,0.0384,02/6/6
NO2,0.0354,02/6/7
NO2,0.036,02/6/8
NO2,0.0384,02/6/9
NO2,0.0352,02/6/10
NO2,0.0346,02/6/11
NO2,0.0344,02/6/12
NO2,0.0312,02/6/13
NO2,0.0288,02/6/14
NO2,0.0316,02/6/15
NO2,0.0322,02/6/16
NO2,0.0304,02/6/17
NO2,0.0304,02/6/18
NO2,0.0296,02/6/19
NO2,0.0282,02/6/20
NO2,0.028,02/6/21
NO2,0.0272,02/6/22
NO2,0.0274,02/6/23
NO2,0.0254,02/6/24
NO2,0.0258,02/6/25
NO2,0.0278,02/6/26
NO2,0.029,02/6/27
NO2,0.031,02/6/28
NO2,0.0324,02/6/29
NO2,0.0294,02/6/30
NO2,0.0252,02/7/1
NO2,0.0236,02/7/2
NO2,0.0216,02/7/3
NO2,0.0244,02/7/4
NO2,0.0258,02/7/5
NO2,0.025,02/7/6
NO2,0.0256,02/7/7
NO2,0.0262,02/7/8
NO2,0.0256,02/7/9
NO2,0.0272,02/7/10
NO2,0.0268,02/7/11
NO2,0.025,02/7/12
NO2,0.022,02/7/13
NO2,0.0204,02/7/14
NO2,0.0204,02/7/15
NO2,0.0244,02/7/16
NO2,0.0278,02/7/17
NO2,0.0284,02/7/18
NO2,0.0258,02/7/19
NO2,0.0226,02/7/20
NO2,0.0184,02/7/21
NO2,0.0156,02/7/22
NO2,0.0158,02/7/23
NO2,0.0176,02/7/24
NO2,0.021,02/7/25
NO2,0.0216,02/7/26
NO2,0.0208,02/7/27
NO2,0.0196,02/7/28
NO2,0.0186,02/7/29
NO2,0.0188,02/7/30
NO2,0.0198,02/7/31
NO2,0.0214,02/8/1
NO2,0.0238,02/8/2
NO2,0.0248,02/8/3
NO2,0.023,02/8/4
NO2,0.0224,02/8/5
NO2,0.0228,02/8/6
NO2,0.022,02/8/7
NO2,0.0218,02/8/8
NO2,0.0214,02/8/9
NO2,0.0228,02/8/10
NO2,0.024,02/8/11
NO2,0.027,02/8/12
NO2,0.0308,02/8/13
NO2,0.0318,02/8/14
NO2,0.0336,02/8/15
NO2,0.0362,02/8/16
NO2,0.0374,02/8/17
NO2,0.0382,02/8/18
NO2,0.0374,02/8/19
NO2,0.0352,02/8/20
NO2,0.035,02/8/21
NO2,0.0328,02/8/22
NO2,0.0326,02/8/23
NO2,0.035,02/8/24
NO2,0.0392,02/8/25
NO2,0.0368,02/8/26
NO2,0.0368,02/8/27
NO2,0.0372,02/8/28
NO2,0.036,02/8/29
NO2,0.0336,02/8/30
NO2,0.0356,02/8/31
NO2,0.0376,02/9/1
NO2,0.0334,02/9/2
NO2,0.0316,02/9/3
NO2,0.0286,02/9/4
NO2,0.0238,02/9/5
NO2,0.022,02/9/6
NO2,0.0238,02/9/7
NO2,0.03,02/9/8
NO2,0.037,02/9/9
NO2,0.043,02/9/10
NO2,0.0456,02/9/11
NO2,0.0418,02/9/12
NO2,0.037,02/9/13
NO2,0.0314,02/9/14
NO2,0.0294,02/9/15
NO2,0.028,02/9/16
NO2,0.0356,02/9/17
NO2,0.0412,02/9/18
NO2,0.0464,02/9/19
NO2,0.0438,02/9/20
NO2,0.0404,02/9/21
NO2,0.0362,02/9/22
NO2,0.0332,02/9/23
NO2,0.0316,02/9/24
NO2,0.032,02/9/25
NO2,0.0364,02/9/26
NO2,0.037,02/9/27
NO2,0.0354,02/9/28
NO2,0.034,02/9/29
NO2,0.038,02/9/30
NO2,0.0356,02/10/1
NO2,0.0352,02/10/2
NO2,0.0342,02/10/3
NO2,0.0364,02/10/4
NO2,0.038,02/10/5
NO2,0.0366,02/10/6
NO2,0.0368,02/10/7
NO2,0.0398,02/10/8
NO2,0.0382,02/10/9
NO2,0.035,02/10/10
NO2,0.0368,02/10/11
NO2,0.0358,02/10/12
NO2,0.0342,02/10/13
NO2,0.034,02/10/14
NO2,0.0356,02/10/15
NO2,0.0372,02/10/16
NO2,0.0406,02/10/17
NO2,0.0398,02/10/18
NO2,0.0342,02/10/19
NO2,0.028,02/10/20
NO2,0.0238,02/10/21
NO2,0.0186,02/10/22
NO2,0.017,02/10/23
NO2,0.0206,02/10/24
NO2,0.0212,02/10/25
NO2,0.0218,02/10/26
NO2,0.023,02/10/27
NO2,0.0234,02/10/28
NO2,0.0252,02/10/29
NO2,0.0318,02/10/30
NO2,0.0348,02/10/31
NO2,0.035,02/11/1
NO2,0.0374,02/11/2
NO2,0.0342,02/11/3
NO2,0.0312,02/11/4
NO2,0.0346,02/11/5
NO2,0.0438,02/11/6
NO2,0.046,02/11/7
NO2,0.0478,02/11/8
NO2,0.0462,02/11/9
NO2,0.0406,02/11/10
NO2,0.0342,02/11/11
NO2,0.0336,02/11/12
NO2,0.0336,02/11/13
NO2,0.0388,02/11/14
NO2,0.0444,02/11/15
NO2,0.0442,02/11/16
NO2,0.0394,02/11/17
NO2,0.0374,02/11/18
NO2,0.0342,02/11/19
NO2,0.0336,02/11/20
NO2,0.0362,02/11/21
NO2,0.0448,02/11/22
NO2,0.0466,02/11/23
NO2,0.049,02/11/24
NO2,0.0518,02/11/25
NO2,0.0472,02/11/26
NO2,0.0434,02/11/27
NO2,0.0464,02/11/28
NO2,0.0472,02/11/29
NO2,0.0462,02/11/30
NO2,0.054,02/12/1
NO2,0.058,02/12/2
NO2,0.059,02/12/3
NO2,0.0562,02/12/4
NO2,0.0496,02/12/5
NO2,0.0398,02/12/6
NO2,0.0308,02/12/7
NO2,0.0236,02/12/8
NO2,0.0234,02/12/9
NO2,0.0246,02/12/10
NO2,0.029,02/12/11
NO2,0.0338,02/12/12
NO2,0.0422,02/12/13
NO2,0.0478,02/12/14
NO2,0.0562,02/12/15
NO2,0.0526,02/12/16
NO2,0.0506,02/12/17
NO2,0.0478,02/12/18
NO2,0.0444,02/12/19
NO2,0.041,02/12/20
NO2,0.0446,02/12/21
NO2,0.042,02/12/22
NO2,0.0378,02/12/23
NO2,0.0316,02/12/24
NO2,0.0252,02/12/25
NO2,0.0322,02/12/26
NO2,0.049,02/12/27
NO2,0.06,02/12/28
NO2,0.0772,02/12/29
NO2,0.096,02/12/30
NO2,0.093,02/12/31
NO2,0.0884,03/1/1
NO2,0.0842,03/1/2
NO2,0.071,03/1/3
NO2,0.0536,03/1/4
NO2,0.049,03/1/5
NO2,0.041,03/1/6
NO2,0.0386,03/1/7
NO2,0.0418,03/1/8
NO2,0.0448,03/1/9
NO2,0.0528,03/1/10
NO2,0.06,03/1/11
NO2,0.059,03/1/12
NO2,0.0558,03/1/13
NO2,0.0528,03/1/14
NO2,0.043,03/1/15
NO2,0.0332,03/1/16
NO2,0.0352,03/1/17
NO2,0.0374,03/1/18
NO2,0.044,03/1/19
NO2,0.0538,03/1/20
NO2,0.0606,03/1/21
NO2,0.0666,03/1/22
NO2,0.066,03/1/23
NO2,0.0644,03/1/24
NO2,0.0642,03/1/25
NO2,0.0626,03/1/26
NO2,0.0536,03/1/27
NO2,0.0496,03/1/28
NO2,0.0454,03/1/29
NO2,0.04,03/1/30
NO2,0.0404,03/1/31
NO2,0.0428,03/2/1
NO2,0.049,03/2/2
NO2,0.0514,03/2/3
NO2,0.0558,03/2/4
NO2,0.0516,03/2/5
NO2,0.0494,03/2/6
NO2,0.043,03/2/7
NO2,0.0406,03/2/8
NO2,0.036,03/2/9
NO2,0.0328,03/2/10
NO2,0.0304,03/2/11
NO2,0.0312,03/2/12
NO2,0.0318,03/2/13
NO2,0.0352,03/2/14
NO2,0.0456,03/2/15
NO2,0.0532,03/2/16
NO2,0.0584,03/2/17
NO2,0.0634,03/2/18
NO2,0.0634,03/2/19
NO2,0.0588,03/2/20
NO2,0.054,03/2/21
NO2,0.0478,03/2/22
NO2,0.042,03/2/23
NO2,0.0388,03/2/24
NO2,0.0414,03/2/25
NO2,0.044,03/2/26
NO2,0.0476,03/2/27
NO2,0.0508,03/2/28
NO2,0.0512,03/3/1
NO2,0.0518,03/3/2
NO2,0.048,03/3/3
NO2,0.047,03/3/4
NO2,0.0456,03/3/5
NO2,0.042,03/3/6
NO2,0.0378,03/3/7
NO2,0.044,03/3/8
NO2,0.0484,03/3/9
NO2,0.047,03/3/10
NO2,0.0452,03/3/11
NO2,0.044,03/3/12
NO2,0.0402,03/3/13
NO2,0.0394,03/3/14
NO2,0.043,03/3/15
NO2,0.0488,03/3/16
NO2,0.0516,03/3/17
NO2,0.0586,03/3/18
NO2,0.062,03/3/19
NO2,0.0574,03/3/20
NO2,0.0548,03/3/21
NO2,0.0564,03/3/22
NO2,0.0528,03/3/23
NO2,0.0502,03/3/24
NO2,0.0538,03/3/25
NO2,0.0522,03/3/26
NO2,0.0496,03/3/27
NO2,0.047,03/3/28
NO2,0.0408,03/3/29
NO2,0.0446,03/3/30
